"sno_student","school","questionnaire_type_initial","coding_round_2_final_coding","sno_questionnaire","sno_statement","sno_segment","sno","age","gender","school_grade","statement_Kinyarwanda","statement_English"
25,"A","motivation","motivation","m17","mm17_3","mm17_3_1","motivation1517_3",16,"male",2,"mba nshaka ko naterwa ipfunwe nabaye ntagize amanota","i don't wish to feel ashamed when i don’t get good marks"
25,"A","motivation","demotivation","m17","mm17_6","mm17_6_1","motivation1517_6",16,"male",2,"iyo ntakoze mfite ishyaka ndatsindwa","when work without motivation i fail"
25,"A","motivation","motivation","m17","mm17_4","mm17_4_1","motivation1517_4",16,"male",2,"mbona bagenzi banjye bandusha niyo mpamvu nanjye ngira ishyaka kugira ngo nanjye mbarushe","i think my friends are better than me and that is why i am motivated so i can be better than them"
25,"A","motivation","motivation","m17","mm17_2","mm17_2_1","motivation1517_2",16,"male",2,"mba nshaka kuba nakora neza","i want to be able to do well"
25,"A","motivation","motivation","m17","mm17_1","mm17_1_1","motivation1517_1",16,"male",2,"iyo mbona bakorana umurava bakandusha nanjye nkora mfite ishyaka ryo gutsinda","when i see them working with determination and are better than i am, i too work with motivation to succeed"
87,"A","demotivation","demotivation","m172","mm172_2","mm172_2_1","motivation57172_2",15,"female",3,"nshobora gutsindwa","i might fail"
87,"A","demotivation","motivation","m172","mm172_1","mm172_1_1","motivation57172_1",15,"female",3,"numva nkeneye kubaha umurezi wanjye","i owe respect to my teacher/educator"
24,"A","motivation","demotivation","m173","mm173_1","mm173_1_2","motivation14173_1",18,"male",3,"iyo ndi mwishuri ntakindi kiba kimpugije kuko nicyo mbanaraje gukora. ariko nanone ngira ikibazo rimwe na rimwe cyo kudakora imyitozo bitewe nuko hari aho ngera bikananira ukumva wabyihorera kandi wumvaga ubufitiye ishyaka","when in class there is nothing else that occupies me  because it is what i came to do . but then again i have an issue of not doing the exercise because i get to a point where i am not capable  and feel like giving up when i actually was motivated to do it"
24,"A","motivation","motivation","m173","mm173_2","mm173_2_1","motivation14173_2",18,"male",3,"ariko muri rusange iyo ukoze umwitozo uba ugomba ku wu kora neza kugira ngo umenye aho ugira intege nke cyane kurusha ahandi","but in general, when doing exercises, you have to do them well, so that you may know where your main strength is amongst subjects"
24,"A","motivation","demotivation","m173","mm173_1","mm173_1_1","motivation14173_1",18,"male",3,"iyo ndi mwishuri ntakindi kiba kimpugije kuko nicyo mbanaraje gukora. ariko nanone ngira ikibazo rimwe na rimwe cyo kudakora imyitozo bitewe nuko hari aho ngera bikananira ukumva wabyihorera kandi wumvaga ubufitiye ishyaka","when i am at school there is nothing else that occupies me because it is what i came for. but sometimes i have a problem of not doing the exercises because of reaching a point where it is impossible for me and you feel like giving up while being motivated"
24,"A","motivation","demotivation","m173","mm173_1","mm173_1_2","motivation14173_1",18,"male",3,"iyo ndi mwishuri ntakindi kiba kimpugije kuko nicyo mbanaraje gukora. ariko nanone ngira ikibazo rimwe na rimwe cyo kudakora imyitozo bitewe nuko hari aho ngera bikananira ukumva wabyihorera kandi wumvaga ubufitiye ishyaka","when in class there is nothing else that occupies me  because it is what i came to do . but then again i have an issue of not doing the exercise because i get to a point where i am not capable  and feel like giving up when i actually was motivated to do it"
24,"A","motivation","motivation","m173","mm173_2","mm173_2_1","motivation14173_2",18,"male",3,"ariko muri rusange iyo ukoze umwitozo uba ugomba ku wu kora neza kugira ngo umenye aho ugira intege nke cyane kurusha ahandi","but in general, when doing exercises, you have to do them well, so that you may know where your main strength is amongst subjects"
24,"A","motivation","demotivation","m173","mm173_1","mm173_1_1","motivation14173_1",18,"male",3,"iyo ndi mwishuri ntakindi kiba kimpugije kuko nicyo mbanaraje gukora. ariko nanone ngira ikibazo rimwe na rimwe cyo kudakora imyitozo bitewe nuko hari aho ngera bikananira ukumva wabyihorera kandi wumvaga ubufitiye ishyaka","when i am at school there is nothing else that occupies me because it is what i came for. but sometimes i have a problem of not doing the exercises because of reaching a point where it is impossible for me and you feel like giving up while being motivated"
158,"A","demotivation","demotivation","m174","mm174_2","mm174_2_1","motivation109174_2",17,"female",3,"cyangwa nkaba muri kamere yanjye ntarigeze niyumva mo iryosomo bityo bigatuma","or i may be naturally inclined to never liking the subject/lesson so that causes me"
158,"A","demotivation","demotivation","m174","mm174_1","mm174_1_2","motivation109174_1",17,"female",3,"mba ntumvise wenda ibyo bintu ngiye gukora wenda umwarimu akaba yabyigishije sibyumve","i might not have understood; i might not have understood what the teacher taught"
158,"A","demotivation","demotivation","m174","mm174_1","mm174_1_1","motivation109174_1",17,"female",3,"mba ntumvise wenda ibyo bintu ngiye gukora wenda umwarimu akaba yabyigishije sibyumve","i might not have understood; i might not have understood what the teacher taught"
158,"A","demotivation","motivation","m174","mm174_5","mm174_5_2","motivation109174_5",17,"female",3,"ariko igihe cyagera bahindura umwigisha ugasanga uraryumvise bijya bibaho","but time comes when they change the teacher and you find that you understand it better. it happens"
158,"A","demotivation","demotivation","m174","mm174_9","mm174_9_1","motivation109174_9",17,"female",3,"ariko simvuze ko kutagira ishyaka bivuze ko ari ubumenyi buke ahubwo birashoboka ko ushobora kuba utishimiye iryosomo runaka bityo bigatuma utigirira ishyaka","but i am not saying that, not being motivated is not having knowledge but it is possible that you may not happy with a certain subject and so it causes you to not be motivated"
158,"A","demotivation","demotivation","m174","mm174_4","mm174_4_2","motivation109174_4",17,"female",3,"bitewe nuko utarikunda ariko rimwe na rimwe bigaterwa nuri kuryigisha hari ighe uri kuryigisha uba wumva bitari kumvikana","due to not liking it. but sometimes it depends on who is teaching it. there are times when the teacher, teaching it is not being clear"
158,"A","demotivation","demotivation","m174","mm174_3","mm174_3_1","motivation109174_3",17,"female",3,"ntari kunda nkumva ntanikintu nifuza kuri kuraho nkumva ntashaka no kuryumva mubuzima","i don't love and feel like i don't wish to get anything from it and not even want to hear of it in my life"
158,"A","demotivation","demotivation","m174","mm174_4","mm174_4_1","motivation109174_4",17,"female",3,"bitewe nuko utarikunda ariko rimwe na rimwe bigaterwa nuri kuryigisha hari ighe uri kuryigisha uba wumva bitari kumvikana","it depends on whether or not you do not love it. but sometimes it depends on who is teaching it. there are times when the teacher, teaching it is not being clear"
158,"A","demotivation","motivation","m174","mm174_5","mm174_5_1","motivation109174_5",17,"female",3,"ariko igihe cyagera bahindura umwigisha ugasanga uraryumvise bijya bibaho","but time comes when they change the teacher and you find that you understand it better. it happens"
158,"A","demotivation","demotivation","m174","mm174_6","mm174_6_2","motivation109174_6",17,"female",3,"kubera ko hari igihe uba wumva utameze neza ukumva wenda n'isomo utari kuryumva bigatuma wumva udashaka no kuri subiramo","because there are times when you don't feel good and feel like you don't even understand the subject/lesson and makes not wish to do it again"
158,"A","demotivation","demotivation","m174","mm174_6","mm174_6_1","motivation109174_6",17,"female",3,"kubera ko hari igihe uba wumva utameze neza ukumva wenda n'isomo utari kuryumva bigatuma wumva udashaka no kuri subiramo","because there are times when you don't feel good and feel like you don't even understand the subject/lesson and makes not wish to do it again"
158,"A","demotivation","demotivation","m174","mm174_2","mm174_2_1","motivation109174_2",17,"female",3,"cyangwa nkaba muri kamere yanjye ntarigeze niyumva mo iryosomo bityo bigatuma","or i may be naturally inclined to never liking the subject/lesson so that causes me"
158,"A","demotivation","demotivation","m174","mm174_1","mm174_1_2","motivation109174_1",17,"female",3,"mba ntumvise wenda ibyo bintu ngiye gukora wenda umwarimu akaba yabyigishije sibyumve","i might not have understood; i might not have understood what the teacher taught"
158,"A","demotivation","demotivation","m174","mm174_1","mm174_1_1","motivation109174_1",17,"female",3,"mba ntumvise wenda ibyo bintu ngiye gukora wenda umwarimu akaba yabyigishije sibyumve","i might not have understood; i might not have understood what the teacher taught"
158,"A","demotivation","motivation","m174","mm174_5","mm174_5_2","motivation109174_5",17,"female",3,"ariko igihe cyagera bahindura umwigisha ugasanga uraryumvise bijya bibaho","but time comes when they change the teacher and you find that you understand it better. it happens"
158,"A","demotivation","demotivation","m174","mm174_9","mm174_9_1","motivation109174_9",17,"female",3,"ariko simvuze ko kutagira ishyaka bivuze ko ari ubumenyi buke ahubwo birashoboka ko ushobora kuba utishimiye iryosomo runaka bityo bigatuma utigirira ishyaka","but i am not saying that, not being motivated is not having knowledge but it is possible that you may not happy with a certain subject and so it causes you to not be motivated"
158,"A","demotivation","demotivation","m174","mm174_4","mm174_4_2","motivation109174_4",17,"female",3,"bitewe nuko utarikunda ariko rimwe na rimwe bigaterwa nuri kuryigisha hari ighe uri kuryigisha uba wumva bitari kumvikana","due to not liking it. but sometimes it depends on who is teaching it. there are times when the teacher, teaching it is not being clear"
158,"A","demotivation","demotivation","m174","mm174_3","mm174_3_1","motivation109174_3",17,"female",3,"ntari kunda nkumva ntanikintu nifuza kuri kuraho nkumva ntashaka no kuryumva mubuzima","i don't love and feel like i don't wish to get anything from it and not even want to hear of it in my life"
158,"A","demotivation","demotivation","m174","mm174_4","mm174_4_1","motivation109174_4",17,"female",3,"bitewe nuko utarikunda ariko rimwe na rimwe bigaterwa nuri kuryigisha hari ighe uri kuryigisha uba wumva bitari kumvikana","it depends on whether or not you do not love it. but sometimes it depends on who is teaching it. there are times when the teacher, teaching it is not being clear"
158,"A","demotivation","motivation","m174","mm174_5","mm174_5_1","motivation109174_5",17,"female",3,"ariko igihe cyagera bahindura umwigisha ugasanga uraryumvise bijya bibaho","but time comes when they change the teacher and you find that you understand it better. it happens"
158,"A","demotivation","demotivation","m174","mm174_6","mm174_6_2","motivation109174_6",17,"female",3,"kubera ko hari igihe uba wumva utameze neza ukumva wenda n'isomo utari kuryumva bigatuma wumva udashaka no kuri subiramo","because there are times when you don't feel good and feel like you don't even understand the subject/lesson and makes not wish to do it again"
158,"A","demotivation","demotivation","m174","mm174_6","mm174_6_1","motivation109174_6",17,"female",3,"kubera ko hari igihe uba wumva utameze neza ukumva wenda n'isomo utari kuryumva bigatuma wumva udashaka no kuri subiramo","because there are times when you don't feel good and feel like you don't even understand the subject/lesson and makes not wish to do it again"
17,"A","demotivation","demotivation","m20","mm20_4","mm20_4_1","motivation1220_4",17,"male",2,"kubera ko nta kizere mba mfite cyuko ndibubikore","because i am not confident that i can do it"
17,"A","demotivation","motivation","m20","mm20_2","mm20_2_1","motivation1220_2",17,"male",2,"kubera ko mfite imihangayiko yuko ntazarangiza kwiga","because i have worries that i will not finish studying"
17,"A","demotivation","demotivation","m20","mm20_3","mm20_3_1","motivation1220_3",17,"male",2,"kubera ko ntaba mbizi","because i don’t know it"
17,"A","demotivation","motivation","m20","mm20_5","mm20_5_1","motivation1220_5",17,"male",2,"iyo ndi gukora umwitozo nigirira ikizere cyuko ibyo nkora ejo haza bizangirira akamaro","when i am doing the exercise, i am confident that i will benefit from it in the future"
17,"A","demotivation","demotivation","m20","mm20_1","mm20_1_1","motivation1220_1",17,"male",2,"hari ibintu byinshi bindangaza urugero:umupira","i get distracted by a lot of things for example:football"
17,"A","demotivation","demotivation","m20","mm20_4","mm20_4_1","motivation1220_4",17,"male",2,"kubera ko nta kizere mba mfite cyuko ndibubikore","because i am not confident that i can do it"
17,"A","demotivation","motivation","m20","mm20_2","mm20_2_1","motivation1220_2",17,"male",2,"kubera ko mfite imihangayiko yuko ntazarangiza kwiga","because i have worries that i will not finish studying"
17,"A","demotivation","demotivation","m20","mm20_3","mm20_3_1","motivation1220_3",17,"male",2,"kubera ko ntaba mbizi","because i don’t know it"
17,"A","demotivation","motivation","m20","mm20_5","mm20_5_1","motivation1220_5",17,"male",2,"iyo ndi gukora umwitozo nigirira ikizere cyuko ibyo nkora ejo haza bizangirira akamaro","when i am doing the exercise, i am confident that i will benefit from it in the future"
17,"A","demotivation","demotivation","m20","mm20_1","mm20_1_1","motivation1220_1",17,"male",2,"hari ibintu byinshi bindangaza urugero:umupira","i get distracted by a lot of things for example:football"
8,"A","demotivation","demotivation","m42","mm42_6","mm42_6_1","motivation542_6",14,"male",1,"cyangwa ndimo nkora isomo ntumva neza nshobora kutigirira ishyaka","or when i'm doing a subject i do not understand well, i might not be motivated"
8,"A","demotivation","motivation","m42","mm42_1","mm42_1_1","motivation542_1",14,"male",1,"kubera ko iyo ndimo gukora umwitozo wenda muhawe na mwarimu cyangwa na wihaye ndimo gusubira mu masomo ngerageza kubaza aho ntumva bakansobanurira nkasobanukirwa","when i do the exercise that maybe the teacher gave me or that i have given myself, when i am revising i try to ask for explanation where i have not understood, and get to understand it better"
8,"A","demotivation","motivation","m42","mm42_2","mm42_2_1","motivation542_2",14,"male",1,"gukora umwitozo uba urimo wimenyereza kwandika kandi iyo urimo usubira mu masomo ugenda umenya byinshi kubera ko uba ubyanditse inshuro nyinshi","by doing the exercise, you practice writing by revising for subjects/lessons, you get to learn a lot because you do it repeatedly"
8,"A","demotivation","demotivation","m42","mm42_3","mm42_3_1","motivation542_3",14,"male",1,"ntabwo ngira ishyaka kubera ko ushobora kuba utumvise ikibazo neza ugasobanuza mugenzi wawe cyangwa mwarimu","i am not motivated because you might not have understood well the question, and you have to ask your friends for explanation or the teacher"
8,"A","demotivation","demotivation","m42","mm42_6","mm42_6_1","motivation542_6",14,"male",1,"cyangwa ndimo nkora isomo ntumva neza nshobora kutigirira ishyaka","or when i'm doing a subject i do not understand well, i might not be motivated"
8,"A","demotivation","motivation","m42","mm42_1","mm42_1_1","motivation542_1",14,"male",1,"kubera ko iyo ndimo gukora umwitozo wenda muhawe na mwarimu cyangwa na wihaye ndimo gusubira mu masomo ngerageza kubaza aho ntumva bakansobanurira nkasobanukirwa","when i do the exercise that maybe the teacher gave me or that i have given myself, when i am revising i try to ask for explanation where i have not understood, and get to understand it better"
8,"A","demotivation","motivation","m42","mm42_2","mm42_2_1","motivation542_2",14,"male",1,"gukora umwitozo uba urimo wimenyereza kwandika kandi iyo urimo usubira mu masomo ugenda umenya byinshi kubera ko uba ubyanditse inshuro nyinshi","by doing the exercise, you practice writing by revising for subjects/lessons, you get to learn a lot because you do it repeatedly"
8,"A","demotivation","demotivation","m42","mm42_3","mm42_3_1","motivation542_3",14,"male",1,"ntabwo ngira ishyaka kubera ko ushobora kuba utumvise ikibazo neza ugasobanuza mugenzi wawe cyangwa mwarimu","i am not motivated because you might not have understood well the question, and you have to ask your friends for explanation or the teacher"
12,"A","demotivation","motivation","m50","mm50_3","mm50_3_1","motivation850_3",15,"male",1,"kukokumenya amasomo yose ari inshingano zaburi munyeshuri gusa twirinde abadashaka ko amasomo ko amasomo amwe na amwe","it is our responsibility as students to be good at all the subjects/lessons"
12,"A","demotivation","motivation","m50","mm50_4","mm50_4_1","motivation850_4",15,"male",1,"arutana agaciro njye siko byumva amasomo yose tugomba kuyagiramo ishyaka tukayiga neza","and [one] should avoid thinking that certain subjects are more important than others; this is not how i understand it; we have to have motivation for all the lessons"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_3","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are hard/difficult for us and we don't like them, so some of us don't give them much importance while i and others force ourselves to understand them"
12,"A","demotivation","motivation","m50","mm50_9","mm50_9_1","motivation850_9",15,"male",1,"nubwo benshi bavuga ko nta kuntu twakora ngo tumenye byose siko bimeze. byose tugomba kubimenya ntanakimwe tuvanguye","even though some say that there is no way we could learn everything, that is not true. we must know everything without being selective"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_2","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are difficult for us so we don't feel like them therefore we do not give them any value; some other people [and i], we force ourselves to understand it."
12,"A","demotivation","demotivation","m50","mm50_2","mm50_2_1","motivation850_2",15,"male",1,"ariko hari nabatagira ishyaka mu masomo yose birashoboka cyane kuko njyewe ariya masomo nshobora kuyamenya ahubwo ari uko ntayaha umwanya ngo nyige nkuko niga imibare cyangwa ikinyarwanda","it is also very possible for some of us to not have any motivation for any of the subjects/lessons. because i know that i can be good at those subjects/lessons but it is just because i don't dedicated myself to them like i do with mathematics or kinyarwanda"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_1","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are hard/difficult for us and we are not into them , so some of us don't give them much importance while i and others force ourselves to understand them"
12,"A","demotivation","motivation","m50","mm50_3","mm50_3_1","motivation850_3",15,"male",1,"kukokumenya amasomo yose ari inshingano zaburi munyeshuri gusa twirinde abadashaka ko amasomo ko amasomo amwe na amwe","it is our responsibility as students to be good at all the subjects/lessons"
12,"A","demotivation","motivation","m50","mm50_4","mm50_4_1","motivation850_4",15,"male",1,"arutana agaciro njye siko byumva amasomo yose tugomba kuyagiramo ishyaka tukayiga neza","and [one] should avoid thinking that certain subjects are more important than others; this is not how i understand it; we have to have motivation for all the lessons"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_3","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are hard/difficult for us and we don't like them, so some of us don't give them much importance while i and others force ourselves to understand them"
12,"A","demotivation","motivation","m50","mm50_9","mm50_9_1","motivation850_9",15,"male",1,"nubwo benshi bavuga ko nta kuntu twakora ngo tumenye byose siko bimeze. byose tugomba kubimenya ntanakimwe tuvanguye","even though some say that there is no way we could learn everything, that is not true. we must know everything without being selective"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_2","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are difficult for us so we don't feel like them therefore we do not give them any value; some other people [and i], we force ourselves to understand it."
12,"A","demotivation","demotivation","m50","mm50_2","mm50_2_1","motivation850_2",15,"male",1,"ariko hari nabatagira ishyaka mu masomo yose birashoboka cyane kuko njyewe ariya masomo nshobora kuyamenya ahubwo ari uko ntayaha umwanya ngo nyige nkuko niga imibare cyangwa ikinyarwanda","it is also very possible for some of us to not have any motivation for any of the subjects/lessons. because i know that i can be good at those subjects/lessons but it is just because i don't dedicated myself to them like i do with mathematics or kinyarwanda"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_1","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are hard/difficult for us and we are not into them , so some of us don't give them much importance while i and others force ourselves to understand them"
12,"A","demotivation","motivation","m50","mm50_3","mm50_3_1","motivation850_3",15,"male",1,"kukokumenya amasomo yose ari inshingano zaburi munyeshuri gusa twirinde abadashaka ko amasomo ko amasomo amwe na amwe","it is our responsibility as students to be good at all the subjects/lessons"
12,"A","demotivation","motivation","m50","mm50_4","mm50_4_1","motivation850_4",15,"male",1,"arutana agaciro njye siko byumva amasomo yose tugomba kuyagiramo ishyaka tukayiga neza","and [one] should avoid thinking that certain subjects are more important than others; this is not how i understand it; we have to have motivation for all the lessons"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_3","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are hard/difficult for us and we don't like them, so some of us don't give them much importance while i and others force ourselves to understand them"
12,"A","demotivation","motivation","m50","mm50_9","mm50_9_1","motivation850_9",15,"male",1,"nubwo benshi bavuga ko nta kuntu twakora ngo tumenye byose siko bimeze. byose tugomba kubimenya ntanakimwe tuvanguye","even though some say that there is no way we could learn everything, that is not true. we must know everything without being selective"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_2","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are difficult for us so we don't feel like them therefore we do not give them any value; some other people [and i], we force ourselves to understand it."
12,"A","demotivation","demotivation","m50","mm50_2","mm50_2_1","motivation850_2",15,"male",1,"ariko hari nabatagira ishyaka mu masomo yose birashoboka cyane kuko njyewe ariya masomo nshobora kuyamenya ahubwo ari uko ntayaha umwanya ngo nyige nkuko niga imibare cyangwa ikinyarwanda","it is also very possible for some of us to not have any motivation for any of the subjects/lessons. because i know that i can be good at those subjects/lessons but it is just because i don't dedicated myself to them like i do with mathematics or kinyarwanda"
12,"A","demotivation","demotivation","m50","mm50_1","mm50_1_1","motivation850_1",15,"male",1,"amasomo amwe na amwe aba adukomereye tutayiyumva mo bityo ntituyahe agaciro bamwe na bamwe abandi tukihatira kuyasobanukirwa","some subjects are hard/difficult for us and we are not into them , so some of us don't give them much importance while i and others force ourselves to understand them"
38,"A","motivation","demotivation","n1","nm1_4","nm1_4_1","motivation171_4",16,"male",2,"ntaje kwiga","i don’t come studying"
38,"A","motivation","motivation","n1","nm1_1","nm1_1_1","motivation171_1",16,"male",2,"nkunda kwiga","i like/ love studying."
38,"A","motivation","motivation","n1","nm1_8","nm1_8_1","motivation171_8",16,"male",2,"nkunda kwiga","i like/ love studying."
38,"A","motivation","motivation","n1","nm1_7","nm1_7_1","motivation171_7",16,"male",2,"ibyo bampaye mbandi kubyumva","they things they gave me i understand"
38,"A","motivation","motivation","n1","nm1_6","nm1_6_1","motivation171_6",16,"male",2,"nkunda isomo bampayemo imyitozo","i love the lesson/ subject in which i am given exercises"
94,"A","demotivation","motivation","n38","nm38_4","nm38_4_2","motivation5238_4",15,"female",1,"ngira umuhate kubikunda cyane kukombikurahoubumenyi rusange","i get encouraged and i love it so much because i gain general knowledge"
94,"A","demotivation","motivation","n38","nm38_4","nm38_4_1","motivation5238_4",15,"female",1,"ngira umuhate kubikunda cyane kuko mbi kuraho ubumenyi rusange","i get encouraged and i love it so much because i gain general knowledge"
94,"A","demotivation","motivation","n38","nm38_9","nm38_9_1","motivation5238_9",15,"female",1,"ngira ishyaka gukora umwitozo binyungura ibitekerezo","i have motivation to do my homework, it broaden my mind/thoughts"
94,"A","demotivation","motivation","n38","nm38_5","nm38_5_1","motivation5238_5",15,"female",1,"njyewe ngira ishyaka kubintu bingirira umumaro","i have motivation to things that i can benefit from"
94,"A","demotivation","motivation","n38","nm38_6","nm38_6_1","motivation5238_6",15,"female",1,"ngira ishyaka mu gukora umwitozo kuko ni byiza","i have motivation to do my homework because it is good"
